0.1 : xiii
0.2 : xiii,xiv
0.3 : xiv,xv
0.4 : xv
0.5 : xv,xvi
0.6 : xvi
0.7 : xvi,xvii
0.8 : xvii
0.9 : xvii,xviii
0.10 : xviii,xix
0.7n1 : xvii
1.4.4.3 : 226
1.4.4.4 : 227
1.4.4.5 : 227
1.4.4.6 : 227,228
1.4.4.7 : 228
1.4.4.8 : 228
1.4.4.9 : 228,229
1.4.4.10 : 229
1.4.4.11 : 229,230
1.4.4.12 : 230
1.4.4.13 : 230
1.4.4.14 : 230,231
1.4.4.15 : 231
1.4.4.11n42 : 229
1.4.5.1 : 232
1.4.5.2 : 232
1.4.5.3 : 232,233
1.4.5.4 : 233
1.4.5.5 : 233
1.4.5.6 : 234
1.4.5.7 : 234,235
1.4.5.8 : 235
1.4.5.9 : 235
1.4.5.10 : 235,236
1.4.5.11 : 236,237
1.4.5.12 : 237,238
1.4.5.13 : 238
1.4.5.14 : 238,239
1.4.5.15 : 239,240
1.4.5.16 : 240
1.4.5.17 : 240
1.4.5.18 : 240,241
1.4.5.19 : 241
1.4.5.20 : 241,242
1.4.5.21 : 242,243
1.4.5.22 : 243
1.4.5.23 : 243,244
1.4.5.24 : 244
1.4.5.25 : 244
1.4.5.26 : 244,245
1.4.5.27 : 245,246
1.4.5.28 : 246
1.4.5.29 : 246,247
1.4.5.30 : 247,248
1.4.5.31 : 248,249
1.4.5.32 : 249,250
1.4.5.33 : 250
1.4.5.34 : 250
1.4.5.35 : 250,251
1.4.5.11n43 : 236
1.4.5.12n44 : 237
1.4.5.19n45 : 241
1.4.5.20n46 : 242
1.4.5.22n47 : 243
1.4.5.30n48 : 247
1.4.5.31n49 : 249
1.4.6.1 : 251
1.4.6.2 : 251,252
1.4.6.3 : 252
1.4.6.4 : 252,253
1.4.6.5 : 253
1.4.6.6 : 253,254,255
1.4.6.7 : 255
1.4.6.8 : 255,256
1.4.6.9 : 256
1.4.6.10 : 256
1.4.6.11 : 257
1.4.6.12 : 257
1.4.6.13 : 257,258
1.4.6.14 : 258
1.4.6.15 : 259
1.4.6.16 : 259,260
1.4.6.17 : 260
1.4.6.18 : 260,261
1.4.6.19 : 261
1.4.6.20 : 261,262
1.4.6.21 : 262
1.4.6.22 : 263
1.4.6.23 : 263
1.4.6.6n50 : 254
1.4.7.1 : 263,264
1.4.7.2 : 264,265
1.4.7.3 : 265
1.4.7.4 : 265,266
1.4.7.5 : 266,267
1.4.7.6 : 267
1.4.7.7 : 267,268
1.4.7.8 : 268,269
1.4.7.9 : 269
1.4.7.10 : 269,270
1.4.7.11 : 270
1.4.7.12 : 270,271
1.4.7.13 : 271,272
1.4.7.14 : 272,273
1.4.7.15 : 273,274
1.4.7.4n51 : 266
1.4.7.5n52 : 266
1.4.7.7n53 : 267
2.1.1.1 : 275
2.1.1.2 : 275,276
2.1.1.3 : 276
2.1.1.4 : 276,277
2.1.1.1n54 : 275
2.1.2.1 : 277
2.1.2.2 : 277
2.1.2.3 : 277,278
2.1.2.4 : 278
2.1.2.5 : 278,279
2.1.2.6 : 279
2.1.3.1 : 280
2.1.3.2 : 280
2.1.3.3 : 280
2.1.3.4 : 280,281
2.1.3.5 : 281,282
2.1.3.6 : 282
2.1.3.7 : 282
2.1.4.1 : 282
2.1.4.2 : 283
2.1.4.3 : 283
2.1.4.4 : 283,284
2.1.4.5 : 284
2.1.5.1 : 285
2.1.5.2 : 285
2.1.5.3 : 285,286
2.1.5.4 : 286
2.1.5.5 : 286,287
2.1.5.6 : 287
2.1.5.7 : 287,288
2.1.5.8 : 288
2.1.5.9 : 288,289
2.1.5.10 : 289
2.1.5.11 : 289,290
2.1.6.1 : 290
2.1.6.2 : 290,291
2.1.6.3 : 291
2.1.6.4 : 291,292
2.1.6.5 : 292
2.1.6.6 : 292
2.1.6.7 : 292,293
2.1.6.8 : 293
2.1.6.9 : 293,294
2.1.6.10 : 294
2.1.6.2n55 : 291
2.1.7.1 : 294,295
2.1.7.2 : 295
2.1.7.3 : 295
