xiii : 0.1,0.2
xiv : 0.2,0.3
xv : 0.3,0.4,0.5
xvi : 0.5,0.6,0.7
xvii : 0.7,0.8,0.9,0.7n1
xviii : 0.9,0.10
xix : 0.10
387 : 2.2.9.15,2.2.9.16
388 : 2.2.9.16,2.2.9.17,2.2.9.18,2.2.9.19
389 : 2.2.9.19,2.2.9.20,2.2.10.1,2.2.10.2
390 : 2.2.10.2,2.2.10.3,2.2.10.4
391 : 2.2.10.5,2.2.10.6,2.2.10.7
392 : 2.2.10.7,2.2.10.8,2.2.10.9
393 : 2.2.10.9,2.2.10.10
394 : 2.2.11.1,2.2.11.2,2.2.11.3
395 : 2.2.11.3,2.2.11.4,2.2.11.5
396 : 2.2.11.5,2.2.11.6
397 : 2.2.12.1,2.2.12.2,2.2.12.3,2.2.12.4
398 : 2.2.12.4,2.2.12.5,2.2.12.6,2.2.12.7,2.2.12.8
399 : 2.3.1.1,2.3.1.2,2.3.1.3
400 : 2.3.1.3,2.3.1.4
401 : 2.3.1.4,2.3.1.5,2.3.1.6,2.3.1.7,2.3.1.8
402 : 2.3.1.8,2.3.1.9,2.3.1.10
403 : 2.3.1.10,2.3.1.11,2.3.1.12
404 : 2.3.1.12,2.3.1.13,2.3.1.14,2.3.1.15
405 : 2.3.1.15,2.3.1.16
406 : 2.3.1.16,2.3.1.17
407 : 2.3.1.17,2.3.1.18,2.3.2.1
408 : 2.3.2.1,2.3.2.2
409 : 2.3.2.2,2.3.2.3,2.3.2.4
410 : 2.3.2.4,2.3.2.5,2.3.2.6
411 : 2.3.2.6,2.3.2.7
412 : 2.3.2.7,2.3.2.8
413 : 2.3.3.1,2.3.3.2
414 : 2.3.3.2,2.3.3.3,2.3.3.4
415 : 2.3.3.4,2.3.3.5,2.3.3.6
416 : 2.3.3.6,2.3.3.7
417 : 2.3.3.7,2.3.3.8,2.3.3.9
418 : 2.3.3.9,2.3.3.10,2.3.4.1
419 : 2.3.4.1,2.3.4.2
420 : 2.3.4.2,2.3.4.3
421 : 2.3.4.4,2.3.4.5,2.3.4.6,2.3.4.7,2.3.4.8
422 : 2.3.4.8,2.3.4.9,2.3.4.10,2.3.5.1,2.3.5.2
423 : 2.3.5.2,2.3.5.3,2.3.5.4
424 : 2.3.5.4,2.3.5.5,2.3.6.1,2.3.6.2
425 : 2.3.6.2,2.3.6.3,2.3.6.4,2.3.6.4n66
426 : 2.3.6.4,2.3.6.5,2.3.6.6,2.3.6.7
427 : 2.3.6.7,2.3.6.8,2.3.6.9,2.3.6.10,2.3.7.1,2.3.7.2
428 : 2.3.7.2,2.3.7.3
429 : 2.3.7.3,2.3.7.4,2.3.7.5
430 : 2.3.7.5,2.3.7.6,2.3.7.7,2.3.7.8
431 : 2.3.7.8,2.3.7.9
432 : 2.3.7.9,2.3.8.1,2.3.8.2
433 : 2.3.8.2,2.3.8.3,2.3.8.4
434 : 2.3.8.4,2.3.8.5,2.3.8.6,2.3.8.7,2.3.8.8
435 : 2.3.8.8,2.3.8.9
436 : 2.3.8.9,2.3.8.10,2.3.8.11
437 : 2.3.8.11,2.3.8.12,2.3.8.13
438 : 2.3.8.13,2.3.9.1,2.3.9.2,2.3.9.3
439 : 2.3.9.3,2.3.9.4,2.3.9.5,2.3.9.6,2.3.9.7,2.3.9.8,2.3.9.9
440 : 2.3.9.9,2.3.9.10,2.3.9.11,2.3.9.12
441 : 2.3.9.12,2.3.9.13,2.3.9.14
442 : 2.3.9.14,2.3.9.15,2.3.9.16
443 : 2.3.9.16,2.3.9.17,2.3.9.18,2.3.9.19
444 : 2.3.9.19,2.3.9.20,2.3.9.21,2.3.9.22
445 : 2.3.9.23,2.3.9.24,2.3.9.25
446 : 2.3.9.26,2.3.9.27
447 : 2.3.9.27,2.3.9.28,2.3.9.29,2.3.9.30,2.3.9.31
448 : 2.3.9.31,2.3.9.32,2.3.10.1,2.3.10.2
449 : 2.3.10.2,2.3.10.3,2.3.10.4
450 : 2.3.10.4,2.3.10.5,2.3.10.6
451 : 2.3.10.6,2.3.10.7,2.3.10.8
452 : 2.3.10.8,2.3.10.9,2.3.10.10,2.3.10.11
453 : 2.3.10.11,2.3.10.12
454 : 2.3.10.12
455 : 3.1.1.1
456 : 3.1.1.1,3.1.1.2,3.1.1.3,3.1.1.4
